"id" "period" "season" "sum_space_free" "sum_broken" "sum_total" "mean_predict_day_spaces_free" "perc_slot_free" "perc_broken_bikes" "name" "lat" "long" "total_station_size" "average_dist_bus" "bus_stops" "average_dist_school" "num_schools" "num_hosp" "departments" "average_dist_hosp" "num_mall" "average_dist_mall" "numb_shops_mall" "surface_mall" "average_surface" "average_dist_sale" "num_sale" "max_surface_sale" "mean_surface_sale" "min_surface_sale" "tot_surface_sales" "average_dist_open_air_market" "num_open_air_market" "max_days_open" "min_days_open" "mean_days_open" "tot_days_open" "max_total_places" "min_total_places" "mean_total_places" "tot_total_places" "stat_zone" "TOTALE" "Totale.stranieri" "perc_stranieri" "use"
"56" 14 "early" "winter" 561 112 1690 0.483805133402595 0.331952662721893 0.0662721893491124 "Borgo" 45.05636 7.58099 10 167.952113097 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0
"57" 15 "morning" "autumn" 583 203 1245 0.607080585625875 0.468273092369478 0.163052208835341 "Borromini" 45.06716 7.70837 15 207.968392446 15 294.385178374 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "PARCO MICHELOTTI-BORGO PO" 5720 449 0.0784965034965035 0
"58" 15 "morning" "spring" 703 261 1380 0.523383482513431 0.509420289855072 0.189130434782609 "Borromini" 45.06716 7.70837 15 207.968392446 15 294.385178374 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "PARCO MICHELOTTI-BORGO PO" 5720 449 0.0784965034965035 0
"59" 15 "afternoon" "summer" 783 165 1410 0.622792428255217 0.55531914893617 0.117021276595745 "Borromini" 45.06716 7.70837 15 207.968392446 15 294.385178374 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "PARCO MICHELOTTI-BORGO PO" 5720 449 0.0784965034965035 0
"60" 15 "morning" "winter" 613 208 1320 0.482971098600244 0.464393939393939 0.157575757575758 "Borromini" 45.06716 7.70837 15 207.968392446 15 294.385178374 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "PARCO MICHELOTTI-BORGO PO" 5720 449 0.0784965034965035 0
"61" 16 "late" "autumn" 913 275 1220 0.610518302958644 0.748360655737705 0.225409836065574 "Buozzi" 45.12583 7.64219 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 1
"62" 16 "afternoon" "spring" 735 336 1400 0.527677346873071 0.525 0.24 "Buozzi" 45.12583 7.64219 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0
"63" 16 "late" "summer" 585 193 890 0.622673974064119 0.657303370786517 0.21685393258427 "Buozzi" 45.12583 7.64219 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 1
"64" 16 "afternoon" "winter" 543 183 890 0.482661379426187 0.610112359550562 0.20561797752809 "Buozzi" 45.12583 7.64219 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 1
"65" 17 "afternoon" "autumn" 828 25 1270 0.611840585116314 0.651968503937008 0.0196850393700787 "C. Commerciale I Portici" 45.12418 7.63204 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 1
