"EnteDiCompetenza";"Provincia";"Comune";"DenominazioneIndirizzo";"NumeroCivico";"CodiceEdificioRilevazione";"CodiceEdificioRegionePiemonte";"AnnoDiCostruzione";"AnnoDiCostruzioneSND";"AnnoEsattoDiCostruzione";"CopiaArchivioSiNo";"ContaEdifici";""
"Comune";"Alessandria";"Cassine";"Piazza VITTORIO VENETO";"2";"2";"0060430001";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Comune";"Alessandria";"Cassano Spinola";"Viale stazione";"1";"1";"0060420002";"Anno specificare";"Si";"1968";"No";"1";""
"Comune";"Alessandria";"Castellazzo Bormida";"SPALTO MARTIRI DELLA LIBERTA'";"149";"1";"0060470003";"Anno specificare";"Si";"1966";"No";"1";""
"Comune";"Alessandria";"Cassine";"Vicolo DEI FORNAI";"2";"1";"0060430002";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Comune";"Alessandria";"Cassinelle";"Piazza S. Defendente";"6";"1";"0060440001";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Comune";"Alessandria";"Castelletto D'Orba";"VIA MARTIRI DELLA BENEDICTA";"10";"2";"0060490002";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Alessandria";"Castelnuovo Scrivia";"Piazza Vittorio Veneto";"5";"AL 000002";"0060530004";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Comune";"Alessandria";"Castelletto Monferrato";"PIAZZA ASTORI";"1";"1";"0060510002";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Alessandria";"Castelletto D'Orba";"Piazza Guglielmo Marconi";"1";"1";"0060490001";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Alessandria";"Castelletto Monferrato";"PIAZZA ASTORI";"1";"2";"0060510003";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Alessandria";"Castelnuovo Scrivia";"Viale IV Novembre";"63";"AL 000003";"0060530003";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Alessandria";"Cella Monte";"Via MATILDE FRANCIA";"12";"1";"0060560001";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Comune";"Alessandria";"Castelnuovo Scrivia";"Piazza Vittorio Veneto";"5";"AL 000001";"0060530001";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Alessandria";"Castellazzo Bormida";"Via E.BOIDI";"149";"2";"0060470002";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Alessandria";"Cerrina";"Via Dante Alighieri";"30";"4";"0060590004";"Anno specificare";"Si";"2007";"No";"1";""
"Comune";"Alessandria";"Cremolino";"VIA GUARDIA";"37";"ALEE02705T";"0060630001";"Anno specificare";"Si";"1974";"No";"1";""
"Comune";"Alessandria";"Cerrina";"Via DANTE ALIGHIERI";"28";"2";"0060590002";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Alessandria";"Cerrina";"Via DANTE ALIGHIERI";"21";"1";"0060590001";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Alessandria";"Felizzano";"CORSO VITTORIO VENETO";"50";"2";"0060680002";"Anno specificare";"Si";"1900";"No";"1";""
"Comune";"Alessandria";"Conzano";"via Garoglio Ugo";"40";"1";"0060610001";"Anno specificare";"Si";"1980";"No";"1";""
"Comune";"Alessandria";"Felizzano";"PIAZZA ERCOLE PAOLO";"10";"3";"0060680001";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Alessandria";"Frassinello Monferrato";"Piazza Assunta";"2";"001";"0060720001";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Alessandria";"Frassineto Po";"Via Po";"1";"2";"0060730002";"Anno specificare";"Si";"1940";"No";"1";""
"Comune";"Alessandria";"Fresonara";"Via Guglielmo Marconi";"69";"1";"0060740001";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Alessandria";"Frassineto Po";"Via Roma";"6";"1";"0060730001";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Alessandria";"Francavilla Bisio";"Via Roma";"10";"01";"0060700001";"Anno specificare";"Si";"1957";"No";"1";""
"Comune";"Alessandria";"Felizzano";"Via Carbonazzi";"75";"1";"0060680003";"Anno specificare";"Si";"1976";"No";"1";""
"Comune";"Alessandria";"Gavi";"Piazza Dante Alighieri";"1";"1";"0060810002";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Alessandria";"Fubine";"via San Giovanni Bosco ";"15";"2";"0060760002";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Alessandria";"Gabiano";"Via SAN PIETRO";"27/BIS";"006077AAEE";"0060770001";"Anno specificare";"Si";"1988";"No";"1";""
"Comune";"Alessandria";"Frugarolo";"Via MATTEOTTI";"46";"2";"0060750002";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Alessandria";"Fubine";"Via Pavaranza";"37";"1";"0060760001";"Anno specificare";"Si";"1963";"No";"1";""
"Comune";"Alessandria";"Garbagna";"via roma";"40";"02";"0060790003";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Alessandria";"Garbagna";"Via Argo";"6";"3";"0060790001";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Alessandria";"Garbagna";"Via Roma";"42";"1";"0060790002";"Anno specificare";"Si";"1961";"No";"1";""
"Comune";"Alessandria";"Gamalero";"Piazza A. Moro";"5";"1";"0060780001";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Alessandria";"Frugarolo";"Via MATTEOTTI";"46";"1";"0060750001";"Anno specificare";"Si";"1965";"No";"1";""
"Comune";"Alessandria";"Grondona";"Via Adua";"10";"1";"0060850001";"Anno specificare";"Si";"1930";"No";"1";""
"Comune";"Alessandria";"Lu";"Viale Della Rimemmbranza";"1";"01";"0060890002";"Anno specificare";"Si";"1975";"No";"1";""
"Comune";"Alessandria";"Isola Sant'Antonio";"Via Balduzzi";"10";"1";"0060870001";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Comune";"Alessandria";"Gremiasco";"Via soldati dispersi in Russia";"8";"1";"0060830002";"Anno specificare";"Si";"1930";"No";"1";""
"Comune";"Alessandria";"Gavi";"Via C. Vittorio Veneto";"26";"2";"0060810001";"Anno specificare";"Si";"1979";"No";"1";""
"Comune";"Alessandria";"Masio";"Piazza ITALIA";"1";"1M";"0060910002";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Alessandria";"Isola Sant'Antonio";"Piazza Garibaldi";"1";"2";"0060870002";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Alessandria";"Giarole";"VIA PASQUARELLI ORESTE";"2";"1";"0060820002";"Anno specificare";"Si";"1900";"No";"1";""
"Comune";"Alessandria";"Mirabello Monferrato";"Via Mario Talice";"2";"2";"0060940001";"Anno specificare";"Si";"1930";"No";"1";""
"Comune";"Alessandria";"Melazzo";"Via Dellocchio";"10/C";"1";"0060920001";"Anno specificare";"Si";"1995";"No";"1";""
"Comune";"Alessandria";"Mirabello Monferrato";"Via Maria Ausiliatrice";"7";"1";"0060940002";"Anno specificare";"Si";"1900";"No";"1";""
"Comune";"Alessandria";"Molare";"Via SANTUARIO - CAMPOROTONDO";"1";"1";"0060950001";"Anno specificare";"Si";"1988";"No";"1";""
"Comune";"Alessandria";"Masio";"Strada COLLINA";"29";"1A";"0060910001";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Alessandria";"Morano Sul Po";"Via G.P.GALLO";"2";"01";"0061090002";"Anno specificare";"Si";"1906";"No";"1";""
"Comune";"Alessandria";"Molino Dei Torti";"Via sorelle carena";"2";"AL 000002";"0060960002";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Alessandria";"Mornese";"Piazza G. Doria";"5";"MORNESE01";"0061110001";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Alessandria";"Montechiaro D'Acqui";"Piazza Europa";"14";"01";"0061060001";"Anno specificare";"Si";"1966";"No";"1";""
"Comune";"Alessandria";"Molino Dei Torti";"Via Roma";"77";"AL 000001";"0060960001";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Alessandria";"Morsasco";"Via MATTEOTTI";"10";"1";"0061120001";"Anno specificare";"Si";"1914";"No";"1";""
"Comune";"Alessandria";"Mombello Monferrato";"Via ROMA";"57";"1";"0060970001";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Alessandria";"Morano Sul Po";"Piazza PIEMONTE";"2";"02";"0061090001";"Anno specificare";"Si";"1906";"No";"1";""
"Comune";"Alessandria";"Novi Ligure";"Corso ITALIA";"56";"PASCOLI";"0061140012";"Anno specificare";"Si";"1938";"No";"1";""
"Comune";"Alessandria";"Murisengo";"VIA MARCONI";"20";"C";"0061130004";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Comune";"Alessandria";"Novi Ligure";"Piazzale PIEVE";"5";"PIEVE";"0061140013";"Anno specificare";"Si";"1945";"No";"1";""
"Comune";"Alessandria";"Murisengo";"Via San Pietro";"1";"B";"0061130003";"Anno specificare";"Si";"1980";"No";"1";""
"Comune";"Alessandria";"Novi Ligure";"Via SOLFERINO";"26";"SOLFERINO";"0061140015";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Comune";"Alessandria";"Novi Ligure";"Viale SAFFI";"44";"GARIBALDI";"0061140007";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Alessandria";"Novi Ligure";"Via BUOZZI";"9";"BUOZZI";"0061140006";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Alessandria";"Novi Ligure";"Via TERRACINI";"1";"TERRACINI";"0061140016";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Alessandria";"Novi Ligure";"Via ONETO";"54";"ONETO";"0061140010";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Alessandria";"Novi Ligure";"Viale PINAN CICHERO";"44";" RODARI";"0061140014";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Alessandria";"Novi Ligure";"Viale FERRANDO SCRIVIA";"24";"BOCCARDO";"0061140005";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Alessandria";"Novi Ligure";"Viale SAFFI";"51";"DORIA";"0061140008";"Anno specificare";"Si";"1915";"No";"1";""
"Comune";"Alessandria";"Novi Ligure";"VIA RATTAZZI URBANO";"15";"MARTIRI 2";"0061140018";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Alessandria";"Novi Ligure";"Via VERDI";"113";"ZUCCA";"0061140017";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Alessandria";"Occimiano";"Via Gerbida";"10";"2";"0061150002";"Anno specificare";"Si";"1980";"No";"1";""
"Comune";"Alessandria";"Ottiglio";"Via Asilo";"5";"001";"0061200001";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Alessandria";"Ovada";"Via Dania";"26/a";"OVADA 3";"0061210001";"Anno specificare";"Si";"1979";"No";"1";""
"Comune";"Alessandria";"Ovada";"Via Duchessa di Galliera";"2";"OVADA 2";"0061210002";"Anno specificare";"Si";"1962";"No";"1";""
"Comune";"Alessandria";"Ovada";"Via Galliera";"23";"OVADA 4";"0061210009";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Comune";"Alessandria";"Occimiano";"Via Sommeiller";"28";"1";"0061150001";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Comune";"Alessandria";"Oviglio";"PIAZZA RE UMBERTO I";"2";"1";"0061220002";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Alessandria";"Ovada";"Piazza Bausola";"3";"OVADA 1";"0061210008";"Anno specificare";"Si";"1928";"No";"1";""
"Comune";"Alessandria";"Ozzano Monferrato";"Via Perbocca";"6";"2";"0061230002";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Alessandria";"Pontecurone";"Via ROMA";"65";"1";"0061320001";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
