EnteDiCompetenza;Provincia;Comune;DenominazioneIndirizzo;Indirizzo;NumeroCivico;VIA;CodiceEdificioRilevazione;CodiceEdificioRegionePiemonte;AnnoDiCostruzione;AnnoDiCostruzioneSND;AnnoEsattoDiCostruzione;CopiaArchivioSiNo;ContaEdifici
Comune;Torino;Torino;Via Palma Di Cesnola;VIA PALMA DI CESNOLA;29;VIA PALMA DI CESNOLA 29;09/208;12720306;Anno specificare;Si;1971;No;1
Comune;Torino;Torino;Via Pacchiotti Giacinto;VIA PACCHIOTTI GIACINTO;80;VIA PACCHIOTTI GIACINTO 80;04/083;12720159;Anno specificare;Si;1968;No;1
Comune;Torino;Torino;Via Piazzi Giuseppe;VIA PIAZZI GIUSEPPE;57;VIA PIAZZI GIUSEPPE 57;01/014;12720170;Anno specificare;Si;1958;No;1
Comune;Torino;Torino;Via Passoni Mario e Luigi;VIA PASSONI MARIO E LUIGI;set-13;VIA PASSONI MARIO E LUIGI 41518;04/085;12720033;Anno specificare;Si;1980;No;1
Comune;Torino;Torino;Via Palmieri Pietro;VIA PALMIERI PIETRO;58;VIA PALMIERI PIETRO 58;03/057;12720062;Anno specificare;Si;1910;No;1
Comune;Torino;Torino;Via Pesaro;VIA PESARO;11;VIA PESARO 11;07/169;12720199;Anno specificare;Si;1969;No;1
Comune;Torino;Torino;Via Piacenza;VIA PIACENZA;16;VIA PIACENZA 16;09/191;12720080;Anno specificare;Si;1968;No;1
Comune;Torino;Torino;Via Pozzo Strada;VIA POZZO STRADA;12-gen;VIA POZZO STRADA 42381;03/062;12720010;Anno specificare;Si;1926;No;1
Comune;Torino;Torino;Via Poirino;VIA POIRINO;9;VIA POIRINO 9;09/196;12720019;Anno specificare;Si;1973;No;1
Comune;Torino;Torino;Via Pioppi (Dei);VIA PIOPPI (DEI);45;VIA PIOPPI (DEI) 45;06/125;12720092;Anno specificare;Si;1954;No;1
Comune;Torino;Torino;Via Podgora;VIA PODGORA;28;VIA PODGORA 28;09/206;12720032;Anno specificare;Si;1978;No;1
Comune;Torino;Torino;Via Porta Carlo;VIA PORTA CARLO;6;VIA PORTA CARLO 6;06/126;12720164;Anno specificare;Si;1971;No;1
Comune;Torino;Torino;Via Plava;VIA PLAVA;177/2;VIA PLAVA 177/2;10/217;12720045;Anno specificare;Si;1967;No;1
Comune;Torino;Torino;Via Randaccio Giovanni;VIA RANDACCIO GIOVANNI;60;VIA RANDACCIO GIOVANNI 60;05/122;12720152;Anno specificare;Si;1981;No;1
Comune;Torino;Torino;Via Postumia;VIA POSTUMIA;28;VIA POSTUMIA 28;03/047;12720130;Anno specificare;Si;1973;No;1
Comune;Torino;Torino;VIA PRIMULE (DELLE);VIA PRIMULE (DELLE);36/B;VIA PRIMULE (DELLE) 36/B;05/115;12720008;Anno specificare;Si;1961;No;1
Comune;Torino;Torino;Via Rismondo Francesco;VIA RISMONDO FRANCESCO;68;VIA RISMONDO FRANCESCO 68;10/220;12720072;Anno specificare;Si;1961;No;1
Comune;Torino;Torino;Via Revel Ottavio;VIA REVEL OTTAVIO;8;VIA REVEL OTTAVIO 8;01/016;12720180;Anno specificare;Si;1891;No;1
