name;average;max;mean;surface_sale;sale#;min;id;coord;sales
San Maurizio;251.787691557;880;559;2795;5;355;132;45.071934999999996, 7.69261;VIA CONTE LUIGI TARINO 10/A, CORSO REGINA MARGHERITA 65/C, CORSO REGINA MARGHERITA 67/D, VIA G. ROSSINI 26/E, CORSO REGINA MARGHERITA 98/BIS/H
Gran Madre;112.041596827;586;455;911;2;325;61;45.062979999999996, 7.6985;VIA SANTORRE SANTAROSA IS 6/BIS/A, CORSO CASALE 313/int.6
Giulia di Barolo;246.890368446;520;359;1798;5;253;59;45.067405, 7.6968;PIAZZA VITTORIO VENETO 7/A, VIA PO 46/B, VIA VANCHIGLIA 18/I, VIA ARTISTI 14/B, VIA ARTISTI 14/C
San Francesco da Paola;230.777253115;375;318;1273;4;251;130;45.068605, 7.689080000000001;VIA L. DES AMBROIS 5/R, VIA M. VITTORIA 7/A, VIA BOGINO 2/B, VIA ACCADEMIA DELLE SCIENZE 4/C
VIALE DEI PARTIGIANI, VIA DENINA, LUNGODORA SIENA;296.171620925;355;335;671;2;316;-2;45.074940000000005, 7.68756;CORSO REGINA MARGHERITA 98/BIS/H, GALLERIA UMBERTO I 40
De Amicis;195.669919241;980;435;4356;10;258;35;45.046765, 7.673030000000001;VIA NIZZA 149, VIA NIZZA 149, VIA TIZIANO 20, VIA GIOTTO 1, PIAZZA EDMONDO DE AMICIS 125, CORSO DANTE 73/C, CORSO DANTE 50/A, VIA NIZZA 113, VIA NIZZA 64/A, VIA NIZZA 95
Statuto 2;229.821406218;600;371;2603;7;295;140;45.076245, 7.67166;VIA A. MANZONI 16/E, VIA GIUSEPPE GARIBALDI 44, PIAZZA STATUTO 9, VIA S.DOMENICO 35/C, VIA CIBRARIO 6/I, CORSO VALDOCCO 15/B, VIA S.CHIARA 58
Filadelfia;314.315228604;290;290;290;1;290;43;45.0371733333333, 7.64884;CORSO UNIONE SOVIETICA 252/bis/int.6
CORSO SAN MAURIZIO E VANCHIGLIA;225.567649363;880;512;3587;7;263;-3;45.07007, 7.697839999999999;VIA VANCHIGLIA 18/I, VIA ARTISTI 14/B, VIA ARTISTI 14/C, VIA VANCHIGLIA 42, VIA CONTE LUIGI TARINO 10/A, CORSO REGINA MARGHERITA 65/C, CORSO REGINA MARGHERITA 67/D
Dora Firenze;226.696379495;305;289;578;2;273;37;45.07945, 7.689225;VIA ALESSANDRIA 7/A, CORSO BRESCIA 19
Galimberti;283.988687187;715;494;2474;5;255;51;45.03308, 7.656515;VIA TUNISI 124/B, VIA TUNISI 126/A, VIA MONTEVIDEO 48/A, VIA MADONNA DELLE ROSE 29, VIA MADONNA DELLE ROSE 29/D
Marconi 1;275.28524951;481;481;481;1;481;76;45.05546, 7.68267;VIA ODDINO MORGARI 24
Porta Palatina;211.997347525;387;317;1586;5;264;113;45.07395, 7.664;VIA SUSA 3/B, VIA AVIGLIANA 16/B, ACAJA 51/A, VIA DUCHESSA JOLANDA 13/A, CORSO INGHILTERRA 47
Corte d`Appello;176.530044093;472;382;2677;7;297;32;45.0744, 7.67885;VIA GIUSEPPE GARIBALDI 18/A, VIA GIUSEPPE GARIBALDI 22, VIA GIUSEPPE GARIBALDI 37, VIA GIUSEPPE GARIBALDI 32/E, PIAZZA SAVOIA 2, VIA S.AGOSTINO 28, PIAZZA REPUBBLICA 3/I
Mauriziano 1;310.331127391;720;720;720;1;720;81;45.05012, 7.6657399999999996;CORSO FILIPPO TURATI 29/D
Valdo Fusi;290.505736856;4878;898;10783;12;284;151;45.064665000000005, 7.6863;VIA CARLO ALBERTO 36/H, VIA CARLO ALBERTO 36, VIA G. MAZZINI 9, VIA ANDREA DORIA 13/C, VIA ANDREA DORIA 6/G, VIA CARLO ALBERTO 22, VIA G.L. LAGRANGE 15, VIA G.L. LAGRANGE 15, VIA GIOLITTI 16/D, VIA G.L. LAGRANGE 10/G, VIA L. DES AMBROIS 5/R, VIA M. VITTORIA 7/A
Cernaia;208.811492089;395;313;1880;6;260;25;45.072645, 7.670260000000001;VIA ETTORE DE SONNAZ 13/E, CORSO VINZAGLIO 19, VIA CERNAIA 31, VIA CERNAIA 40, VIA A. MANZONI 16/E, PIAZZA STATUTO 9
Pietro Micca;209.113722232;2033;582;20401;35;292;104;45.070515, 7.682285;PIAZZA S.CARLO 204, PIAZZA S.CARLO 177, Via G.L. Lagrange 2/Q, PIAZZA S.CARLO 169, PIAZZA S.CARLO 176, PIAZZA S.CARLO 145, VIA ROMA 121, VIA ROMA 124, VIA S.TERESA 2/B, GALLERIA S. FEDERICO 46, VIA ROMA 112, VIA ROMA 95, VIA ROMA 77, VIA ROMA 80, VIA S.TERESA 14/B, VIA ROMA 53, VIA ROMA 58, VIA ROMA 54, VIA ROMA 56, VIA S.TERESA 19/F, VIA ROMA 33, VIA ROMA 38, VIA CESARE BATTISTI 1, VIA ACCADEMIA DELLE SCIENZE 4/C, VIA ROMA 5,  2, VIA PIETRO MICCA 22/F, PIAZZA CASTELLO 113, VIA PIETRO MICCA 12/A, VIA G. BARBAROUX 2/B, PIAZZA CASTELLO 139, PIAZZA CASTELLO 143, VIA GIUSEPPE GARIBALDI 3/B, VIA MERCANTI 17, VIA GIUSEPPE GARIBALDI 7
Paravia;248.226852184;600;381;2669;7;295;99;45.077575, 7.67035;VIA GIUSEPPE GARIBALDI 44, PIAZZA STATUTO 9, VIA S.DOMENICO 35/C, VIA CIBRARIO 6/I, VIA S.CHIARA 58, VIA V.M. MIGLIETTI 17, VIA P.D. PINELLI 14/A
Umbria;234.827564333;368;339;678;2;310;147;45.083059999999996, 7.669555;VIA P.D. PINELLI 14/A, VIA CASERTA 5/B
Valdocco;208.409198379;600;387;1935;5;295;152;45.07809, 7.675714999999999;VIA GIUSEPPE GARIBALDI 44, VIA S.DOMENICO 35/C, CORSO VALDOCCO 15/B, VIA S.CHIARA 58, CORSO VALDOCCO 19
PARCO SPINA, PARCO PELLERINA, QUADRANTE NORD OVEST;279.354903475;2000;620;3722;6;280;-1;45.0874, 7.651439999999999;CORSO REGINA MARGHERITA 292/D, STRADA GHIACCIAIE 9, STRADA GHIACCIAIE 30/A, CORSO POTENZA 16, CORSO POTENZA 17, VIA ANGIOLINO 21
Arbarello;214.106616091;691;385;3470;9;270;2;45.07356, 7.676585;VIA CERNAIA 6/H, VIA CERNAIA 17/G, VIA CERNAIA 16/G, VIA GIUSEPPE GARIBALDI 18/A, VIA GIUSEPPE GARIBALDI 22, VIA GIUSEPPE GARIBALDI 37, VIA GIUSEPPE GARIBALDI 32/E, PIAZZA SAVOIA 2, VIA GIUSEPPE GARIBALDI 44
