id;name;mall#;average;malls;coord
VIA MONFERRATO;215.159143325;19;-4;45.06224, 7.69768;52419004, 52458003, 52446003, 55584001, 52486003, 52441002, 53709001, 52362003, 52362004, 52434002, 52457003, 53841001, 52459004, 52459003, 52414003, 52374003, 52374004, 52409004, 52409003;
Ventimiglia;212.136969012;13;156;45.032740000000004, 7.671595;51968004, 51968003, 51916003, 51945002, 51885004, 52009002, 51990002, 51996007, 51996005, 51996004, 51178015, 51924003, 51972003;
Giambone;196.81507639;11;54;45.033055, 7.647035000000001;51483007, 51403007, 51359008, 51395009, 51359007, 51376008, 51303005, 51422008, 51309008, 51447006, 51455006;
Piazza d`Armi;286.821670952;8;102;45.048125, 7.65839;51758004, 51758005, 51752008, 51752006, 51775005, 51752007, 51714004, 51742005;
Municipio;207.699636159;9;88;45.077459999999995, 7.56955;50482017, 50496014, 53751001, 50457015, 50457014, 50495014, 50464018, 50476009, 50464017;
Carducci;172.733663623;15;19;45.042565, 7.6709;52014002, 51953003, 57869003, 56981001, 52044003, 52044004, 57869008, 57869007, 57869004, 51997002, 57899001, 51994003, 51994002, 52040003, 52040002;
IV Marzo;246.769779868;10;63;45.073326666666695, 7.68228;52206003, 52187004, 52177002, 52238003, 52207004, 52207003, 52263003, 55564001, 55565001, 52232003;
Dalla Chiesa / Pastrengo;127.829470886;2;33;45.07764, 7.58082;50548010, 50548009;
Adriano;218.081155806;16;1;45.070665000000005, 7.65597;54494002, 51551007, 51720010, 51720005, 51573007, 51720006, 51720009, 51608008, 51608007, 52511004, 52511005, 51562004, 51557008, 51614007, 51614006, 54729001;
Re Umberto;259.044336378;16;120;45.059545, 7.670615;51926003, 51951003, 51913003, 51940003, 52048002, 52055004, 51878006, 51977003, 51977002, 52004002, 52004003, 51911003, 51911004, 52038003, 52002004, 52002002;
Bernini;144.320391724;11;9;45.076155, 7.6555550000000006;54734001, 51625006, 51631005, 51666004, 51545007, 51599009, 51534006, 51616009, 51586007, 51629006, 51637007;
Leumann;185.169718959;8;68;45.07233, 7.5617600000000005;50443013, 50446017, 50429009, 50429010, 50445014, 50447014, 50448015, 50448014;
Montevideo;217.555779371;10;87;45.037045, 7.6517;51447006, 51455006, 51494011, 51597005, 51501007, 51501008, 57190001, 51543008, 57191001, 51554009;
Livorno;118.024460588;4;71;45.087154999999996, 7.669775;51934003, 51927002, 51966002, 51979003;
Bolzano;238.138208957;28;13;45.07139, 7.666689999999999;51941004, 51882006, 57071001, 51921008, 57059003, 51921009, 51921007, 51943002, 51954003, 55558003, 55558001, 57072001, 56687003, 56687004, 56687001, 51857005, 51850005, 51952004, 51952003, 56786001, 51950003, 51950004, 57259001, 51904003, 51955008, 51932003, 57787001, 51938003;
Baretti;253.377377519;8;4;45.057635, 7.681255;52196002, 52205003, 57872003, 52226003, 52105005, 52105004, 52227003, 52105006;
Gramsci;134.895908256;6;60;45.0727, 7.5803;50537011, 54662001, 50536025, 50536024, 50562013, 50559015;
Sommeiller;223.266554879;11;137;45.05526, 7.671755;51944004, 51944003, 52070004, 52070008, 52007003, 51982003, 51985003, 52007002, 51926003, 51951003, 51940003;
Giolitti 1;238.201740272;11;56;45.066485, 7.683675;54745002, 56157003, 57370001, 54746001, 51851006, 56208002, 57369001, 56978001, 55568001, 55571001, 52221004;
Giolitti 2;271.442575111;15;57;45.0641, 7.690460000000001;53709001, 55576001, 52362003, 52362004, 55579001, 52271003, 52274005, 52274004, 54747001, 53704002, 57370001, 52295005, 52298003, 52347004, 57881001;
Borgo;167.952113097;6;14;45.05636, 7.580989999999999;50527018, 50527017, 57061002, 57061001, 57060002, 57060001;
Sant´Anselmo;262.906012412;12;133;45.059665, 7.681385000000001;52226003, 52227003, 52105006, 52248003, 52251003, 52246003, 53674005, 53674006, 52216003, 52209004, 57364001, 53838001;
Arcivescovado;244.564669223;19;3;45.06706, 7.678175;52137003, 52116002, 56157003, 57878001, 57878002, 52051003, 52063002, 52094002, 51851006, 52078004, 52164002, 52106002, 56682001, 52113003, 52113005, 57192001, 52113004, 52138002, 52192003;
Padova;261.079594523;10;97;45.0791, 7.698425;52439002, 52447005, 52447003, 52487003, 52508003, 52508002, 56984001, 52484003, 52484004, 52505003;
Vittorio Veneto 2;228.770014835;18;164;45.06518, 7.693675;53709001, 52362003, 52362004, 53841001, 55579001, 52414003, 52374003, 52374004, 55580001, 52409004, 52409003, 53704002, 52392003, 53715002, 52347004, 57881001, 57882002, 57882001;
VIA NIZZA;229.893732315;9;-5;45.03454, 7.668069999999999;51945002, 51885004, 51990002, 51996007, 51996004, 51178015, 51924003, 51972003, 51923004;
Meucci;208.60648436;20;84;45.06922, 7.676089999999999;52063002, 52094002, 52078004, 52164002, 52041003, 52106002, 52034003, 56682001, 52113003, 52113005, 52113004, 52138002, 57271001, 52061002, 52054004, 52081006, 52081007, 52056005, 52066002, 52091003;
Murazzi;216.50289797;20;91;45.06193, 7.693955;52380004, 52380003, 52339004, 52334003, 52339003, 55577001, 57039001, 55578001, 52419004, 55584001, 53709001, 52362003, 52362004, 52434002, 53841001, 55579001, 52414003, 52374003, 52374004, 55580001;
Tribunale;236.71312834;15;145;45.070840000000004, 7.66127;56697002, 56697001, 51784005, 51784006, 51720010, 51720005, 57071001, 51720006, 51921008, 57059003, 51720009, 51921009, 51921007, 51029010, 57072001;
